ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L
6,Melbourne,Australian Open,15/1/19,Grand Slam,Outdoor,Hard,1st Round,5,Raonic M.,Kyrgios N.,17,52,1900,920,6,4,7,6,6,4,,,,,3,0,Completed,1.8,2
6,Melbourne,Australian Open,15/1/19,Grand Slam,Outdoor,Hard,1st Round,5,Thiem D.,Paire B.,8,61,4095,820,6,4,6,3,5,7,1,6,6,3,3,2,Completed,1.28,3.75
6,Melbourne,Australian Open,16/1/19,Grand Slam,Outdoor,Hard,2nd Round,5,Schwartzman D.,Kudla D.,16,62,1925,818,6,4,7,5,3,6,6,7,6,4,3,2,Completed,1.16,5
6,Melbourne,Australian Open,16/1/19,Grand Slam,Outdoor,Hard,2nd Round,5,Basilashvili N.,Travaglia S.,20,137,1820,401,3,6,6,3,3,6,6,4,6,3,3,2,Completed,1.28,3.75
6,Melbourne,Australian Open,16/1/19,Grand Slam,Outdoor,Hard,2nd Round,5,Tsitsipas S.,Troicki V.,15,200,2095,252,6,3,2,6,6,2,7,5,,,3,1,Completed,1.11,6.5
6,Melbourne,Australian Open,16/1/19,Grand Slam,Outdoor,Hard,2nd Round,5,Seppi A.,Thompson J.,35,72,1170,740,6,3,6,4,6,4,,,,,3,0,Completed,1.66,2.2
6,Melbourne,Australian Open,16/1/19,Grand Slam,Outdoor,Hard,2nd Round,5,Berdych T.,Haase R.,57,58,865,860,6,1,6,3,6,3,,,,,3,0,Completed,1.12,6
6,Melbourne,Australian Open,16/1/19,Grand Slam,Outdoor,Hard,2nd Round,5,Cilic M.,Mcdonald M.,7,81,4160,692,7,5,6,7,6,4,6,4,,,3,1,Completed,1.1,7
6,Melbourne,Australian Open,16/1/19,Grand Slam,Outdoor,Hard,2nd Round,5,Tiafoe F.,Anderson K.,39,6,1080,4810,4,6,6,4,6,4,7,5,,,3,1,Completed,5,1.16
6,Melbourne,Australian Open,16/1/19,Grand Slam,Outdoor,Hard,2nd Round,5,Verdasco F.,Albot R.,28,98,1410,585,6,1,7,6,6,3,,,,,3,0,Completed,1.2,4.5
